element,Flag action
"<(0004,1504)>",retired
"<(0004,1600)>",retired
"<(0008,0001)>",retired
"<(0008,0010)>",retired
"<(0008,0024)>",retired
"<(0008,0025)>",retired
"<(0008,0034)>",retired
"<(0008,0035)>",retired
"<(0008,0040)>",retired
"<(0008,0041)>",retired
"<(0008,0042)>",retired
"<(0008,0050)>",empty
"<(0008,0054)>",delete
"<(0008,1000)>",retired
"<(0008,1100)>",retired
"<(0008,1110)[<0>](0008,1150)> ",conditional
"<(0008,1130)>",retired
"<(0008,1145)>",retired
"<(0008,2110)>",retired
"<(0008,2200)>",retired
"<(0008,2204)>",retired
"<(0008,2208)>",retired
"<(0008,2240)>",retired
"<(0008,2242)>",retired
"<(0008,2244)>",retired
"<(0008,2246)>",retired
"<(0008,2251)>",retired
"<(0008,2253)>",retired
"<(0008,2255)>",retired
"<(0008,2256)>",retired
"<(0008,2257)>",retired
"<(0008,2258)>",retired
"<(0008,2259)>",retired
"<(0008,225A)>",retired
"<(0008,225C)>",retired
"<(0008,4000)>",retired
"<(0010,1050)>",retired
"<(0010,2160)>",conditional
"<(0010,4000)>",conditional
"<(0014,0023)>",retired
"<(0014,0024)>",retired
"<(0014,0045)>",retired
"<(0018,0030)>",retired
"<(0018,0032)>",retired
"<(0018,0033)>",retired
"<(0018,0037)>",retired
"<(0018,0039)>",retired
"<(0018,0061)>",retired
"<(0018,1000)>",empty
"<(0018,1010)>",delete
"<(0018,1011)>",retired
"<(0018,1017)>",retired
"<(0018,101A)>",retired
"<(0018,101B)>",retired
"<(0018,1141)>",retired
"<(0018,1146)>",retired
"<(0018,1200)>",delete
"<(0018,1240)>",retired
"<(0018,4000)>",retired
"<(0018,5021)>",retired
"<(0018,5030)>",retired
"<(0018,5040)>",retired
"<(0018,5210)>",retired
"<(0018,5212)>",retired
"<(0018,6038)>",retired
"<(0018,603A)>",retired
"<(0018,603C)>",retired
"<(0018,603E)>",retired
"<(0018,6040)>",retired
"<(0018,6042)>",retired
"<(0018,700a)>",delete
"<(0018,700c)>",delete
"<(0018,9096)>",retired
"<(0018,9166)>",retired
"<(0018,9195)>",retired
"<(0018,9196)>",retired
"<(0018,9445)>",retired
"<(0020,0010)>",empty
"<(0020,0011)>",conditional
"<(0020,0014)>",retired
"<(0020,0015)>",retired
"<(0020,0016)>",retired
"<(0020,0017)>",retired
"<(0020,0018)>",retired
"<(0020,0022)>",retired
"<(0020,0024)>",retired
"<(0020,0026)>",retired
"<(0020,0030)>",retired
"<(0020,0035)>",retired
"<(0020,0050)>",retired
"<(0020,0070)>",retired
"<(0020,0080)>",retired
"<(0020,00AA)>",retired
